video_path,npy_path,label,split,class_index
Clothes/37. Hat/MVI_3985.MOV,extracted_landmarks\Clothes\37. Hat\MVI_3985.npy,37. Hat,train,14.0
Colours/54. Black/MVI_5206.MOV,extracted_landmarks\Colours\54. Black\MVI_5206.npy,54. Black,train,27.0
Adjectives/2. quiet/MVI_9452.MOV,extracted_landmarks\Adjectives\2. quiet\MVI_9452.npy,2. quiet,train,7.0
Adjectives/79. short/MVI_9380.MOV,extracted_landmarks\Adjectives\79. short\MVI_9380.npy,79. short,train,40.0
Places/35. Bank/MVI_3337.MOV,extracted_landmarks\Places\35. Bank\MVI_3337.npy,35. Bank,train,13.0
Animals/5. Cow/MVI_2990.MOV,extracted_landmarks\Animals\5. Cow\MVI_2990.npy,5. Cow,train,24.0
Colours/55. White/MVI_3891.MOV,extracted_landmarks\Colours\55. White\MVI_3891.npy,55. White,train,30.0
Adjectives/79. short/MVI_5270.MOV,extracted_landmarks\Adjectives\79. short\MVI_5270.npy,79. short,train,40.0
Places/35. Bank/MVI_3583.MOV,extracted_landmarks\Places\35. Bank\MVI_3583.npy,35. Bank,train,13.0
Electronics/53. Fan/MVI_9099.MP4,extracted_landmarks\Electronics\53. Fan\MVI_9099.npy,53. Fan,train,26.0
Places/19. House/MVI_3268.MOV,extracted_landmarks\Places\19. House\MVI_3268.npy,19. House,train,5.0
Adjectives/91. new/MVI_9502.MOV,extracted_landmarks\Adjectives\91. new\MVI_9502.npy,91. new,train,47.0
Places/28. Store or Shop/MVI_3308.MOV,extracted_landmarks\Places\28. Store or Shop\MVI_3308.npy,28. Store or Shop,train,9.0
Days_and_Time/67. Monday/MVI_5449.MOV,extracted_landmarks\Days_and_Time\67. Monday\MVI_5449.npy,67. Monday,train,35.0
Colours/54. Black/MVI_4040.MOV,extracted_landmarks\Colours\54. Black\MVI_4040.npy,54. Black,train,27.0
Places/19. House/MVI_3349.MOV,extracted_landmarks\Places\19. House\MVI_3349.npy,19. House,train,5.0
Society/2. Death/MVI_4257.MOV,extracted_landmarks\Society\2. Death\MVI_4257.npy,2. Death,train,6.0
Electronics/53. Fan/MVI_4534.MOV,extracted_landmarks\Electronics\53. Fan\MVI_4534.npy,53. Fan,train,26.0
Greetings/48. Hello/MVI_0038.MOV,extracted_landmarks\Greetings\48. Hello\MVI_0038.npy,48. Hello,train,23.0
Adjectives/2. quiet/MVI_9371.MOV,extracted_landmarks\Adjectives\2. quiet\MVI_9371.npy,2. quiet,train,7.0
Places/23. Court/MVI_3452.MOV,extracted_landmarks\Places\23. Court\MVI_3452.npy,23. Court,train,8.0
Electronics/54. Cell phone/MVI_4540.MOV,extracted_landmarks\Electronics\54. Cell phone\MVI_4540.npy,54. Cell phone,train,28.0
Animals/4. Bird/MVI_8568.MP4,extracted_landmarks\Animals\4. Bird\MVI_8568.npy,4. Bird,train,15.0
Pronouns/46. you (plural)/MVI_0083.MOV,extracted_landmarks\Pronouns\46. you (plural)\MVI_0083.npy,46. you (plural),train,21.0
Clothes/42. T-Shirt/MVI_4003.MOV,extracted_landmarks\Clothes\42. T-Shirt\MVI_4003.npy,42. T-Shirt,train,18.0
Days_and_Time/67. Monday/MVI_4594.MOV,extracted_landmarks\Days_and_Time\67. Monday\MVI_4594.npy,67. Monday,train,35.0
People/78. Girl/MVI_4243.MOV,extracted_landmarks\People\78. Girl\MVI_4243.npy,78. Girl,train,37.0
People/61. Father/MVI_4940.MOV,extracted_landmarks\People\61. Father\MVI_4940.npy,61. Father,train,31.0
Adjectives/79. short/MVI_9382.MOV,extracted_landmarks\Adjectives\79. short\MVI_9382.npy,79. short,train,40.0
Colours/47. Red/MVI_3720.MOV,extracted_landmarks\Colours\47. Red\MVI_3720.npy,47. Red,train,22.0
Adjectives/91. new/MVI_9421.MOV,extracted_landmarks\Adjectives\91. new\MVI_9421.npy,91. new,train,47.0
Animals/4. Bird/MVI_3013.MOV,extracted_landmarks\Animals\4. Bird\MVI_3013.npy,4. Bird,train,15.0
Adjectives/87. hot/MVI_5136.MOV,extracted_landmarks\Adjectives\87. hot\MVI_5136.npy,87. hot,train,45.0
Adjectives/2. quiet/MVI_5339.MOV,extracted_landmarks\Adjectives\2. quiet\MVI_5339.npy,2. quiet,train,7.0
Seasons/64. Fall/MVI_4580.MOV,extracted_landmarks\Seasons\64. Fall\MVI_4580.npy,64. Fall,train,33.0
Places/23. Court/MVI_3366.MOV,extracted_landmarks\Places\23. Court\MVI_3366.npy,23. Court,train,8.0
Seasons/64. Fall/MVI_5436.MOV,extracted_landmarks\Seasons\64. Fall\MVI_5436.npy,64. Fall,train,33.0
Pronouns/40. I/MVI_0066.MOV,extracted_landmarks\Pronouns\40. I\MVI_0066.npy,40. I,train,16.0
Days_and_Time/86. Time/MVI_5524.MOV,extracted_landmarks\Days_and_Time\86. Time\MVI_5524.npy,86. Time,train,44.0
Means_of_Transportation/11. Car/MVI_4177.MOV,extracted_landmarks\Means_of_Transportation\11. Car\MVI_4177.npy,11. Car,train,2.0
Places/19. House/MVI_3350.MOV,extracted_landmarks\Places\19. House\MVI_3350.npy,19. House,train,5.0
Electronics/53. Fan/MVI_4533.MOV,extracted_landmarks\Electronics\53. Fan\MVI_4533.npy,53. Fan,train,26.0
Colours/47. Red/MVI_4019.MOV,extracted_landmarks\Colours\47. Red\MVI_4019.npy,47. Red,train,22.0
Animals/4. Bird/MVI_2987.MOV,extracted_landmarks\Animals\4. Bird\MVI_2987.npy,4. Bird,train,15.0
Colours/55. White/MVI_5062.MOV,extracted_landmarks\Colours\55. White\MVI_5062.npy,55. White,train,30.0
Greetings/51. Good Morning/MVI_9932.MOV,extracted_landmarks\Greetings\51. Good Morning\MVI_9932.npy,51. Good Morning,train,25.0
Seasons/61. Summer/MVI_5424.MOV,extracted_landmarks\Seasons\61. Summer\MVI_5424.npy,61. Summer,train,32.0
Places/19. House/MVI_3594.MOV,extracted_landmarks\Places\19. House\MVI_3594.npy,19. House,train,5.0
Home/40. Paint/MVI_4413.MOV,extracted_landmarks\Home\40. Paint\MVI_4413.npy,40. Paint,train,17.0
Adjectives/1. loud/MVI_5336.MOV,extracted_landmarks\Adjectives\1. loud\MVI_5336.npy,1. loud,train,1.0
Jobs/84. Teacher/MVI_8866.MP4,extracted_landmarks\Jobs\84. Teacher\MVI_8866.npy,84. Teacher,train,42.0
Places/19. House/MVI_3516.MOV,extracted_landmarks\Places\19. House\MVI_3516.npy,19. House,train,5.0
Greetings/55. Thank you/MVI_9985.MOV,extracted_landmarks\Greetings\55. Thank you\MVI_9985.npy,55. Thank you,train,29.0
Places/35. Bank/MVI_3664.MOV,extracted_landmarks\Places\35. Bank\MVI_3664.npy,35. Bank,train,13.0
Adjectives/78. long/MVI_5108.MOV,extracted_landmarks\Adjectives\78. long\MVI_5108.npy,78. long,train,39.0
Adjectives/2. quiet/MVI_9538.MOV,extracted_landmarks\Adjectives\2. quiet\MVI_9538.npy,2. quiet,train,7.0
Colours/55. White/MVI_5209.MOV,extracted_landmarks\Colours\55. White\MVI_5209.npy,55. White,train,30.0
People/66. Brother/MVI_8631.MP4,extracted_landmarks\People\66. Brother\MVI_8631.npy,66. Brother,train,34.0
Colours/54. Black/MVI_5059.MOV,extracted_landmarks\Colours\54. Black\MVI_5059.npy,54. Black,train,27.0
Seasons/64. Fall/MVI_9135.MP4,extracted_landmarks\Seasons\64. Fall\MVI_9135.npy,64. Fall,train,33.0
Adjectives/94. good/MVI_5240.MOV,extracted_landmarks\Adjectives\94. good\MVI_5240.npy,94. good,train,48.0
Adjectives/2. quiet/MVI_9453.MOV,extracted_landmarks\Adjectives\2. quiet\MVI_9453.npy,2. quiet,train,7.0
Adjectives/97. dry/MVI_5167.MOV,extracted_landmarks\Adjectives\97. dry\MVI_5167.npy,97. dry,train,49.0
Pronouns/40. I/MVI_9919.MOV,extracted_landmarks\Pronouns\40. I\MVI_9919.npy,40. I,train,16.0
Colours/47. Red/MVI_5038.MOV,extracted_landmarks\Colours\47. Red\MVI_5038.npy,47. Red,train,22.0
Adjectives/3. happy/MVI_9540.MOV,extracted_landmarks\Adjectives\3. happy\MVI_9540.npy,3. happy,train,11.0
Society/14. Election/MVI_8711.MP4,extracted_landmarks\Society\14. Election\MVI_8711.npy,14. Election,train,3.0
Clothes/44. Shoes/MVI_4204.MOV,extracted_landmarks\Clothes\44. Shoes\MVI_4204.npy,44. Shoes,train,19.0
Home/28. Window/MVI_4365.MOV,extracted_landmarks\Home\28. Window\MVI_4365.npy,28. Window,train,10.0
People/77. Boy/MVI_3814.MOV,extracted_landmarks\People\77. Boy\MVI_3814.npy,77. Boy,train,36.0
Means_of_Transportation/11. Car/MVI_3238.MOV,extracted_landmarks\Means_of_Transportation\11. Car\MVI_3238.npy,11. Car,train,2.0
People/78. Girl/MVI_3818.MOV,extracted_landmarks\People\78. Girl\MVI_3818.npy,78. Girl,train,37.0
Jobs/91. Priest/MVI_8887.MP4,extracted_landmarks\Jobs\91. Priest\MVI_8887.npy,91. Priest,train,46.0
Adjectives/83. big large/MVI_5284.MOV,extracted_landmarks\Adjectives\83. big large\MVI_5284.npy,83. big large,train,41.0
Adjectives/1. loud/MVI_9368.MOV,extracted_landmarks\Adjectives\1. loud\MVI_9368.npy,1. loud,train,1.0
Adjectives/84. small little/MVI_9236.MOV,extracted_landmarks\Adjectives\84. small little\MVI_9236.npy,84. small little,train,43.0
Society/14. Election/MVI_4839.MOV,extracted_landmarks\Society\14. Election\MVI_4839.npy,14. Election,train,3.0
Clothes/42. T-Shirt/MVI_3850.MOV,extracted_landmarks\Clothes\42. T-Shirt\MVI_3850.npy,42. T-Shirt,train,18.0
People/66. Brother/MVI_4075.MOV,extracted_landmarks\People\66. Brother\MVI_4075.npy,66. Brother,train,34.0
Animals/1. Dog/MVI_2979.MOV,extracted_landmarks\Animals\1. Dog\MVI_2979.npy,1. Dog,train,0.0
People/66. Brother/MVI_4230.MOV,extracted_landmarks\People\66. Brother\MVI_4230.npy,66. Brother,train,34.0
Means_of_Transportation/16. train ticket/MVI_3196.MOV,extracted_landmarks\Means_of_Transportation\16. train ticket\MVI_3196.npy,16. train ticket,train,4.0
Adjectives/91. new/MVI_5309.MOV,extracted_landmarks\Adjectives\91. new\MVI_5309.npy,91. new,train,47.0
Adjectives/84. small little/MVI_5287.MOV,extracted_landmarks\Adjectives\84. small little\MVI_5287.npy,84. small little,train,43.0
Adjectives/94. good/MVI_9432.MOV,extracted_landmarks\Adjectives\94. good\MVI_9432.npy,94. good,train,48.0
Adjectives/97. dry/MVI_9521.MOV,extracted_landmarks\Adjectives\97. dry\MVI_9521.npy,97. dry,train,49.0
Adjectives/87. hot/MVI_9409.MOV,extracted_landmarks\Adjectives\87. hot\MVI_9409.npy,87. hot,train,45.0
Places/28. Store or Shop/MVI_3310.MOV,extracted_landmarks\Places\28. Store or Shop\MVI_3310.npy,28. Store or Shop,train,9.0
Pronouns/40. I/MVI_9879.MOV,extracted_landmarks\Pronouns\40. I\MVI_9879.npy,40. I,train,16.0
Pronouns/46. you (plural)/MVI_9947.MOV,extracted_landmarks\Pronouns\46. you (plural)\MVI_9947.npy,46. you (plural),train,21.0
Electronics/53. Fan/MVI_9097.MP4,extracted_landmarks\Electronics\53. Fan\MVI_9097.npy,53. Fan,train,26.0
Animals/5. Cow/MVI_4160.MOV,extracted_landmarks\Animals\5. Cow\MVI_4160.npy,5. Cow,train,24.0
Adjectives/83. big large/MVI_9234.MOV,extracted_landmarks\Adjectives\83. big large\MVI_9234.npy,83. big large,train,41.0
People/78. Girl/MVI_8645.MP4,extracted_landmarks\People\78. Girl\MVI_8645.npy,78. Girl,train,37.0
People/66. Brother/MVI_3780.MOV,extracted_landmarks\People\66. Brother\MVI_3780.npy,66. Brother,train,34.0
Adjectives/84. small little/MVI_5288.MOV,extracted_landmarks\Adjectives\84. small little\MVI_5288.npy,84. small little,train,43.0
Means_of_Transportation/11. Car/MVI_8584.MP4,extracted_landmarks\Means_of_Transportation\11. Car\MVI_8584.npy,11. Car,train,2.0
People/61. Father/MVI_4062.MOV,extracted_landmarks\People\61. Father\MVI_4062.npy,61. Father,train,31.0
People/61. Father/MVI_3765.MOV,extracted_landmarks\People\61. Father\MVI_3765.npy,61. Father,train,31.0
Colours/54. Black/MVI_4919.MOV,extracted_landmarks\Colours\54. Black\MVI_4919.npy,54. Black,train,27.0
Home/34. Pen/MVI_4390.MOV,extracted_landmarks\Home\34. Pen\MVI_4390.npy,34. Pen,train,12.0
Places/35. Bank/MVI_3336.MOV,extracted_landmarks\Places\35. Bank\MVI_3336.npy,35. Bank,train,13.0
Seasons/61. Summer/MVI_9124.MP4,extracted_landmarks\Seasons\61. Summer\MVI_9124.npy,61. Summer,train,32.0
Adjectives/94. good/MVI_9349.MOV,extracted_landmarks\Adjectives\94. good\MVI_9349.npy,94. good,train,48.0
Seasons/61. Summer/MVI_5420.MOV,extracted_landmarks\Seasons\61. Summer\MVI_5420.npy,61. Summer,train,32.0
People/77. Boy/MVI_3816.MOV,extracted_landmarks\People\77. Boy\MVI_3816.npy,77. Boy,train,36.0
People/78. Girl/MVI_3817.MOV,extracted_landmarks\People\78. Girl\MVI_3817.npy,78. Girl,train,37.0
People/78. Girl/MVI_5288.MOV,extracted_landmarks\People\78. Girl\MVI_5288.npy,78. Girl,train,37.0
Colours/47. Red/MVI_8612.MP4,extracted_landmarks\Colours\47. Red\MVI_8612.npy,47. Red,train,22.0
Clothes/44. Shoes/MVI_4009.MOV,extracted_landmarks\Clothes\44. Shoes\MVI_4009.npy,44. Shoes,train,19.0
Home/40. Paint/MVI_9051.MP4,extracted_landmarks\Home\40. Paint\MVI_9051.npy,40. Paint,train,17.0
Days_and_Time/86. Time/MVI_4667.MOV,extracted_landmarks\Days_and_Time\86. Time\MVI_4667.npy,86. Time,train,44.0
Means_of_Transportation/16. train ticket/MVI_3134.MOV,extracted_landmarks\Means_of_Transportation\16. train ticket\MVI_3134.npy,16. train ticket,train,4.0
Home/40. Paint/MVI_4412.MOV,extracted_landmarks\Home\40. Paint\MVI_4412.npy,40. Paint,train,17.0
Clothes/37. Hat/MVI_3986.MOV,extracted_landmarks\Clothes\37. Hat\MVI_3986.npy,37. Hat,train,14.0
Places/28. Store or Shop/MVI_3385.MOV,extracted_landmarks\Places\28. Store or Shop\MVI_3385.npy,28. Store or Shop,train,9.0
Days_and_Time/67. Monday/MVI_5009.MOV,extracted_landmarks\Days_and_Time\67. Monday\MVI_5009.npy,67. Monday,train,35.0
Means_of_Transportation/11. Car/MVI_3146.MOV,extracted_landmarks\Means_of_Transportation\11. Car\MVI_3146.npy,11. Car,train,2.0
Colours/54. Black/MVI_5208.MOV,extracted_landmarks\Colours\54. Black\MVI_5208.npy,54. Black,train,27.0
Adjectives/3. happy/MVI_5185.MOV,extracted_landmarks\Adjectives\3. happy\MVI_5185.npy,3. happy,train,11.0
People/77. Boy/MVI_5286.MOV,extracted_landmarks\People\77. Boy\MVI_5286.npy,77. Boy,train,36.0
Pronouns/40. I/MVI_9878.MOV,extracted_landmarks\Pronouns\40. I\MVI_9878.npy,40. I,train,16.0
Places/19. House/MVI_3351.MOV,extracted_landmarks\Places\19. House\MVI_3351.npy,19. House,train,5.0
Greetings/48. Hello/MVI_0032.MOV,extracted_landmarks\Greetings\48. Hello\MVI_0032.npy,48. Hello,train,23.0
Adjectives/97. dry/MVI_9279.MOV,extracted_landmarks\Adjectives\97. dry\MVI_9279.npy,97. dry,train,49.0
Jobs/84. Teacher/MVI_4744.MOV,extracted_landmarks\Jobs\84. Teacher\MVI_4744.npy,84. Teacher,train,42.0
Places/35. Bank/MVI_3423.MOV,extracted_landmarks\Places\35. Bank\MVI_3423.npy,35. Bank,train,13.0
People/78. Girl/MVI_3965.MOV,extracted_landmarks\People\78. Girl\MVI_3965.npy,78. Girl,train,37.0
Colours/55. White/MVI_4923.MOV,extracted_landmarks\Colours\55. White\MVI_4923.npy,55. White,train,30.0
Jobs/84. Teacher/MVI_4459.MOV,extracted_landmarks\Jobs\84. Teacher\MVI_4459.npy,84. Teacher,train,42.0
Adjectives/78. long/MVI_5266.MOV,extracted_landmarks\Adjectives\78. long\MVI_5266.npy,78. long,train,39.0
Pronouns/44. it/MVI_9898.MOV,extracted_landmarks\Pronouns\44. it\MVI_9898.npy,44. it,train,20.0
Seasons/61. Summer/MVI_9123.MP4,extracted_landmarks\Seasons\61. Summer\MVI_9123.npy,61. Summer,train,32.0
People/61. Father/MVI_3764.MOV,extracted_landmarks\People\61. Father\MVI_3764.npy,61. Father,train,31.0
Places/19. House/MVI_3438.MOV,extracted_landmarks\Places\19. House\MVI_3438.npy,19. House,train,5.0
Adjectives/3. happy/MVI_9296.MOV,extracted_landmarks\Adjectives\3. happy\MVI_9296.npy,3. happy,train,11.0
Days_and_Time/78. Year/MVI_5491.MOV,extracted_landmarks\Days_and_Time\78. Year\MVI_5491.npy,78. Year,train,38.0
Adjectives/78. long/MVI_5188.MOV,extracted_landmarks\Adjectives\78. long\MVI_5188.npy,78. long,train,39.0
Adjectives/1. loud/MVI_9290.MOV,extracted_landmarks\Adjectives\1. loud\MVI_9290.npy,1. loud,train,1.0
Colours/47. Red/MVI_5184.MOV,extracted_landmarks\Colours\47. Red\MVI_5184.npy,47. Red,train,22.0
Greetings/48. Hello/MVI_0089.MOV,extracted_landmarks\Greetings\48. Hello\MVI_0089.npy,48. Hello,train,23.0
People/66. Brother/MVI_5243.MOV,extracted_landmarks\People\66. Brother\MVI_5243.npy,66. Brother,train,34.0
Clothes/42. T-Shirt/MVI_5022.MOV,extracted_landmarks\Clothes\42. T-Shirt\MVI_5022.npy,42. T-Shirt,train,18.0
Animals/4. Bird/MVI_3096.MOV,extracted_landmarks\Animals\4. Bird\MVI_3096.npy,4. Bird,train,15.0
Adjectives/87. hot/MVI_9328.MOV,extracted_landmarks\Adjectives\87. hot\MVI_9328.npy,87. hot,train,45.0
Electronics/53. Fan/MVI_4532.MOV,extracted_landmarks\Electronics\53. Fan\MVI_4532.npy,53. Fan,train,26.0
Places/23. Court/MVI_3453.MOV,extracted_landmarks\Places\23. Court\MVI_3453.npy,23. Court,train,8.0
Home/34. Pen/MVI_4387.MOV,extracted_landmarks\Home\34. Pen\MVI_4387.npy,34. Pen,train,12.0
Places/19. House/MVI_3595.MOV,extracted_landmarks\Places\19. House\MVI_3595.npy,19. House,train,5.0
Adjectives/2. quiet/MVI_9293.MOV,extracted_landmarks\Adjectives\2. quiet\MVI_9293.npy,2. quiet,train,7.0
Adjectives/94. good/MVI_9431.MOV,extracted_landmarks\Adjectives\94. good\MVI_9431.npy,94. good,train,48.0
Adjectives/83. big large/MVI_9318.MOV,extracted_landmarks\Adjectives\83. big large\MVI_9318.npy,83. big large,train,41.0
Days_and_Time/86. Time/MVI_5079.MOV,extracted_landmarks\Days_and_Time\86. Time\MVI_5079.npy,86. Time,train,44.0
Seasons/61. Summer/MVI_4565.MOV,extracted_landmarks\Seasons\61. Summer\MVI_4565.npy,61. Summer,train,32.0
Jobs/84. Teacher/MVI_8864.MP4,extracted_landmarks\Jobs\84. Teacher\MVI_8864.npy,84. Teacher,train,42.0
Pronouns/46. you (plural)/MVI_9976.MOV,extracted_landmarks\Pronouns\46. you (plural)\MVI_9976.npy,46. you (plural),train,21.0
Animals/4. Bird/MVI_2989.MOV,extracted_landmarks\Animals\4. Bird\MVI_2989.npy,4. Bird,train,15.0
Adjectives/2. quiet/MVI_5181.MOV,extracted_landmarks\Adjectives\2. quiet\MVI_5181.npy,2. quiet,train,7.0
Clothes/42. T-Shirt/MVI_4002.MOV,extracted_landmarks\Clothes\42. T-Shirt\MVI_4002.npy,42. T-Shirt,train,18.0
Clothes/37. Hat/MVI_5008.MOV,extracted_landmarks\Clothes\37. Hat\MVI_5008.npy,37. Hat,train,14.0
Means_of_Transportation/11. Car/MVI_3239.MOV,extracted_landmarks\Means_of_Transportation\11. Car\MVI_3239.npy,11. Car,train,2.0
Jobs/91. Priest/MVI_8889.MP4,extracted_landmarks\Jobs\91. Priest\MVI_8889.npy,91. Priest,train,46.0
Colours/54. Black/MVI_4215.MOV,extracted_landmarks\Colours\54. Black\MVI_4215.npy,54. Black,train,27.0
Places/35. Bank/MVI_3422.MOV,extracted_landmarks\Places\35. Bank\MVI_3422.npy,35. Bank,train,13.0
Adjectives/97. dry/MVI_5168.MOV,extracted_landmarks\Adjectives\97. dry\MVI_5168.npy,97. dry,train,49.0
Means_of_Transportation/11. Car/MVI_4176.MOV,extracted_landmarks\Means_of_Transportation\11. Car\MVI_4176.npy,11. Car,train,2.0
Days_and_Time/67. Monday/MVI_5010.MOV,extracted_landmarks\Days_and_Time\67. Monday\MVI_5010.npy,67. Monday,train,35.0
Adjectives/83. big large/MVI_5123.MOV,extracted_landmarks\Adjectives\83. big large\MVI_5123.npy,83. big large,train,41.0
Adjectives/3. happy/MVI_5264.MOV,extracted_landmarks\Adjectives\3. happy\MVI_5264.npy,3. happy,train,11.0
Electronics/54. Cell phone/MVI_4538.MOV,extracted_landmarks\Electronics\54. Cell phone\MVI_4538.npy,54. Cell phone,train,28.0
Adjectives/78. long/MVI_9299.MOV,extracted_landmarks\Adjectives\78. long\MVI_9299.npy,78. long,train,39.0
Greetings/51. Good Morning/MVI_9933.MOV,extracted_landmarks\Greetings\51. Good Morning\MVI_9933.npy,51. Good Morning,train,25.0
People/61. Father/MVI_4061.MOV,extracted_landmarks\People\61. Father\MVI_4061.npy,61. Father,train,31.0
People/77. Boy/MVI_5285.MOV,extracted_landmarks\People\77. Boy\MVI_5285.npy,77. Boy,train,36.0
Adjectives/79. short/MVI_5112.MOV,extracted_landmarks\Adjectives\79. short\MVI_5112.npy,79. short,train,40.0
Colours/55. White/MVI_8620.MP4,extracted_landmarks\Colours\55. White\MVI_8620.npy,55. White,train,30.0
Places/19. House/MVI_3352.MOV,extracted_landmarks\Places\19. House\MVI_3352.npy,19. House,train,5.0
Colours/47. Red/MVI_4018.MOV,extracted_landmarks\Colours\47. Red\MVI_4018.npy,47. Red,train,22.0
Places/28. Store or Shop/MVI_3386.MOV,extracted_landmarks\Places\28. Store or Shop\MVI_3386.npy,28. Store or Shop,train,9.0
Places/35. Bank/MVI_3501.MOV,extracted_landmarks\Places\35. Bank\MVI_3501.npy,35. Bank,train,13.0
Means_of_Transportation/11. Car/MVI_4178.MOV,extracted_landmarks\Means_of_Transportation\11. Car\MVI_4178.npy,11. Car,train,2.0
Colours/55. White/MVI_3890.MOV,extracted_landmarks\Colours\55. White\MVI_3890.npy,55. White,train,30.0
Places/23. Court/MVI_3534.MOV,extracted_landmarks\Places\23. Court\MVI_3534.npy,23. Court,train,8.0
Clothes/42. T-Shirt/MVI_5021.MOV,extracted_landmarks\Clothes\42. T-Shirt\MVI_5021.npy,42. T-Shirt,train,18.0
Greetings/48. Hello/MVI_0037.MOV,extracted_landmarks\Greetings\48. Hello\MVI_0037.npy,48. Hello,train,23.0
People/77. Boy/MVI_4982.MOV,extracted_landmarks\People\77. Boy\MVI_4982.npy,77. Boy,train,36.0
Adjectives/78. long/MVI_5187.MOV,extracted_landmarks\Adjectives\78. long\MVI_5187.npy,78. long,train,39.0
Colours/55. White/MVI_3892.MOV,extracted_landmarks\Colours\55. White\MVI_3892.npy,55. White,train,30.0
Animals/5. Cow/MVI_2991.MOV,extracted_landmarks\Animals\5. Cow\MVI_2991.npy,5. Cow,train,24.0
Days_and_Time/67. Monday/MVI_5446.MOV,extracted_landmarks\Days_and_Time\67. Monday\MVI_5446.npy,67. Monday,train,35.0
Clothes/37. Hat/MVI_3688.MOV,extracted_landmarks\Clothes\37. Hat\MVI_3688.npy,37. Hat,train,14.0
People/66. Brother/MVI_3781.MOV,extracted_landmarks\People\66. Brother\MVI_3781.npy,66. Brother,train,34.0
People/77. Boy/MVI_4981.MOV,extracted_landmarks\People\77. Boy\MVI_4981.npy,77. Boy,train,36.0
Pronouns/44. it/MVI_0078.MOV,extracted_landmarks\Pronouns\44. it\MVI_0078.npy,44. it,train,20.0
Adjectives/97. dry/MVI_5250.MOV,extracted_landmarks\Adjectives\97. dry\MVI_5250.npy,97. dry,train,49.0
Home/34. Pen/MVI_4907.MOV,extracted_landmarks\Home\34. Pen\MVI_4907.npy,34. Pen,train,12.0
Jobs/84. Teacher/MVI_8865.MP4,extracted_landmarks\Jobs\84. Teacher\MVI_8865.npy,84. Teacher,train,42.0
